Data Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power (W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge Energy (Wh),Discharge_Energy(Wh),Capacity (Ah),mAh/g,ACR (Ohm),dV/dt (V/s),Internal_Resistance(Ohm),dQ/dV (Ah/V),dV/dQ (V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1 (C/s),Aux_Temperature_2 (C),Aux_dT/dt_2 (C/s),Aux_Temperature_3 (C),Aux_dT/dt_3 (C/s)
279,2023/06/06 13:28:01,6238.4751,1800.0012,1,4,0,0,0,0,0.0,4.189764,0.0,4.545062e-7,2.16238e-7,1.908939e-6,8.227555e-7,2.16238e-7,1.84818803418803e-6,,-1.074732e-5,0.0,0.0,0.0,,,,,,,,,,26.0438821429995,-0.373073061160391,25.9099727240742,-0.10508551398177,26.0354976692482,-0.17969583283182
280,2023/06/06 13:28:11,6248.518,10.0012,1,5,0,0,0,0,-2.749382,4.172935,-11.47299237617,4.545062e-7,0.007613923,1.908939e-6,0.0317924,0.007613923,0.065076264957265,,-0.0005186672,,0.8929976,181.471,,,,,,,,,,26.1623011897595,-0.11763779027242,25.8708885760104,0.148954421758772,25.9608551435587,-0.227702237033556
281,2023/06/06 13:28:21,6258.5182,20.0014,1,5,0,0,0,0,-2.749176,4.170174,-11.464542276624,4.545062e-7,0.01524746,1.908939e-6,0.06363502,0.01524746,0.130320170940171,,-0.0003267732,,,,,,,,,,,,,25.8557381268194,-0.384399185759253,25.6008923892265,-0.296018227755473,26.2166788341267,0.163836409369736
282,2023/06/06 13:28:31,6268.5169,30.0001,1,5,0,0,0,0,-2.749268,4.168057,-11.459105732276,4.545062e-7,0.0228842,1.908939e-6,0.0954724,0.0228842,0.195591452991453,,-0.0002408187,,2.228455,0.6386157,,,,,,,,,,26.0852147245544,-0.223080865663654,25.9797482797026,0.047200727513186,26.0271437448797,-0.234800885525545
283,2023/06/06 13:28:41,6278.5177,40.0009,1,5,0,0,0,0,-2.749733,4.166005,-11.455401426665,4.545062e-7,0.0305217,1.908939e-6,0.127298,0.0305217,0.260869230769231,,-0.0001632339,,,,,,,,,,,,,26.27457,0.2733974,25.8994,0.1789111,26.02493,-0.2538421
284,2023/06/06 13:28:51,6288.5169,50.0001,1,5,0,0,0,0,-2.749313,4.164478,-11.449453503614,4.545062e-7,0.03815439,1.908939e-6,0.1590902,0.03815439,0.326105897435898,,-0.0001931324,,4.077906,,,,,,,,,,,26.1229091552796,-0.210541042811055,25.6907121547944,-0.382690982298094,26.2141170654975,0.055861095265679
285,2023/06/06 13:29:01,6298.5172,60.0004,1,5,0,0,0,0,-2.748932,4.162718,-11.443028717176,4.545062e-7,0.04579175,1.908939e-6,0.1908892,0.04579175,0.391382478632479,,-0.0001440804,,,,,,,,,,,,,26.12925,0.3520962,25.73258,0.02032141,26.31281,0.2876244
286,2023/06/06 13:29:11,6308.5179,70.0011,1,5,0,0,0,0,-2.74942,4.161365,-11.4413401583,4.545062e-7,0.0534295,1.908939e-6,0.2226775,0.0534295,0.456662393162393,,-0.0001551918,,,,,,,,,,,,,26.1163274149834,0.0772837834146941,25.7125455952275,-0.146901410617228,26.2856772274855,-0.0409021496027183
287,2023/06/06 13:29:21,6318.518,80.0012,1,5,0,0,0,0,-2.748909,4.159518,-11.434136465862,4.545062e-7,0.06106589,1.908939e-6,0.2544482,0.06106589,0.521930683760684,,-0.0001899005,,4.717464,0.2293851,,,,,,,,,,25.97697,-0.2643184,25.67962,-0.2751519,26.29538,0.1587932
288,2023/06/06 13:29:31,6328.5183,90.0015,1,5,0,0,0,0,-2.749352,4.158216,-11.432399476032,4.545062e-7,0.06869799,1.908939e-6,0.2861892,0.06869799,0.587162307692308,,-0.0001892377,,,,,,,,,,,,,25.88423,-0.133726,25.71469,-0.2610886,26.27362,0.1178603
